709,340,39,72,858,416,55,75,676,284,43,62,687,613,71,94
667,278,42,61,690,333,38,72,674,619,75,90,843,425,54,79
831,425,51,80,663,344,39,72,674,618,72,91,645,283,41,61
828,422,49,80,665,618,68,92,657,326,36,71,641,288,41,64
817,419,50,80,629,323,36,71,640,290,41,65,642,613,69,93
794,420,52,81,628,336,36,71,623,284,42,65,654,615,70,92
658,617,69,91,607,327,36,71,790,414,54,81,600,286,42,66
781,413,54,81,643,617,65,91,581,328,36,71,598,296,42,66
587,294,42,67,570,324,35,71,638,607,63,92,774,427,55,80
750,414,55,80,574,291,42,68,646,607,62,93,550,316,34,71
630,608,62,93,750,413,54,79,529,332,35,71,570,293,42,68
625,612,63,93,735,417,53,78,512,323,35,71,549,292,42,68
541,298,42,67,491,307,36,71,719,419,52,78,624,610,64,93
473,327,36,70,721,405,50,78,533,286,40,67,615,611,64,95
609,608,62,97,710,410,48,78,466,318,36,70,517,293,39,67
440,317,36,70,703,410,47,77,613,598,59,100,509,297,38,67
428,318,36,69,498,300,37,68,690,413,45,77,610,610,59,102
480,298,37,68,610,599,60,103,422,326,36,69,686,418,43,76
680,415,42,77,476,295,36,69,401,319,36,69,604,597,63,102
594,598,64,102,468,297,35,69,669,415,42,76,377,316,37,68
452,299,35,70,368,318,37,68,594,599,64,101,663,404,42,76
360,302,37,68,609,599,61,101,449,298,35,71,651,407,42,76
633,407,43,77,335,321,38,68,436,298,35,70,602,589,59,101
621,411,44,77,419,290,36,71,604,585,58,101,327,308,38,69
600,582,58,99,615,403,44,77,319,310,39,69,427,295,37,71
604,397,45,78,603,584,60,96,412,301,37,71,307,308,39,69
600,397,45,78,603,589,62,93,298,302,40,69,406,282,37,72
289,297,40,70,589,390,44,79,605,583,62,91,396,284,38,72
279,293,41,69,611,578,62,90,398,279,37,72,584,383,42,80
621,578,61,91,392,280,37,72,577,392,41,81,274,285,41,70
623,580,61,91,386,283,37,72,270,293,41,70,560,393,40,82
263,282,41,70,631,571,62,91,381,283,36,71,558,372,38,83
630,566,65,89,258,279,40,70,551,381,37,84,369,275,35,70
637,568,67,89,376,279,35,70,251,273,40,70,547,375,36,85
249,282,39,70,640,561,67,89,538,373,35,86,375,284,34,69
370,287,33,70,246,272,39,70,539,372,35,86,642,555,64,89
370,276,33,68,526,369,34,86,247,275,39,70,660,553,61,90
520,356,33,86,370,275,32,67,246,273,39,70,664,549,59,90
246,263,39,70,680,548,58,91,365,277,32,67,520,372,32,86
682,536,59,90,229,265,38,70,508,367,32,87,356,283,32,66
502,364,32,86,353,275,32,65,241,261,38,69,684,537,59,90
230,258,38,69,503,355,32,86,352,270,32,65,695,527,59,90
356,264,32,65,230,255,38,69,484,349,32,85,696,522,57,90
223,243,37,69,703,530,56,90,353,263,34,65,486,344,32,85
710,521,57,89,344,270,35,65,473,341,32,84,217,252,38,68
225,239,38,68,463,346,33,84,703,524,58,88,341,258,36,65
334,268,38,65,702,510,60,87,452,351,33,83,203,241,39,67
203,242,39,66,444,346,33,83,713,515,61,86,328,255,39,66
312,252,40,67,429,345,34,83,200,227,39,66,704,502,60,85
298,263,41,67,187,232,39,65,416,333,34,82,714,500,58,84
293,257,42,68,184,238,40,65,711,489,56,84,402,340,35,81
159,230,40,64,705,497,56,83,383,337,36,81,280,255,43,68
702,483,56,82,273,255,44,68,147,227,40,64,365,342,37,82
352,334,38,82,246,246,45,69,133,236,40,63,692,489,57,81
675,485,57,81,326,328,39,83,235,256,44,70,120,226,40,63
105,227,40,63,684,492,55,80,309,332,39,84,213,243,44,70
203,259,44,70,87,223,39,63,683,497,53,80,299,329,40,85
187,252,44,70,670,475,51,80,70,218,38,63,278,321,41,85
652,479,51,80,251,325,42,85,173,244,44,70,55,215,36,63
648,472,52,79,231,328,44,84,156,253,45,69,36,216,34,63
213,325,45,84,14,215,34,63,639,472,54,79,139,250,45,69
630,470,55,78,108,251,46,69,9,218,31,64,185,320,46,84
